1
627 2696
154478449 302856937 95448133
218673923 663344226 732650485
198299301 559525539 783005643
7137212 365395418 104418889
70024594 604907276 833655154
639617980 764802255 847159075
572571363 838399739 472953363
131908975 636277134 475143837
509920872 733157254 695005393
150002174 309484880 648771645
341977882 497820690 134714979
6356775 81727713 89084478
159502917 887046174 677870586
667919394 814829677 294979664
212591508 753906768 318470706
367473063 496131381 230460336
241911569 775169180 780601767
206077034 690470947 440443831
150188656 798155265 185487805
35241044 711186852 627174868
21737998 144987707 881591593
137360168 680527436 660776205
793161180 898245765 91706852
113603861 457469910 517536775
642166424 685043431 209374461
159427606 735235398 193288833
278031759 871179551 549604032
600421989 686763446 811167885
135183645 465510002 631513253
176532743 880967376 725458110
60780578 493112363 584594735
79785832 373465260 523070733
246829931 349027370 648057668
453899177 468504385 713638689
367737306 780011702 779070182
42292032 88938904 666866681
165154954 245820810 539052145
189373070 400318061 199762616
426957247 466710722 326532781
714117173 877375506 551722679
60159323 620137827 585988203
501964870 672138904 277944421
196471248 630051230 451155913
64494744 80455564 893924863
664981681 740109573 767716680
531256563 653632228 409428470
31160353 269271954 11470750
204382095 877079498 403372837
416049057 747431540 811175763
800055858 802500206 343101516
149571738 780933622 287483542
483378848 594723037 887625793
247551540 787959238 463418594
657673764 815999493 177549414
163806402 739588413 784166018
72341800 781618759 883173648
354772762 384520019 53706737
716526198 736882800 129741124
21455754 797783581 291821405
708454760 856962197 661034783
389664455 804786569 423044572
316800426 408986389 85604348
32182240 42646383 17586794
44464956 215139547 686734836
21575046 402483335 422596984
308419449 649888305 874886862
25294343 409469592 609699853
640537598 765815681 185951964
500980475 529864642 509027368
386343582 702820307 204444274
73364230 792630518 615733464
541519412 806376558 856232559
329678583 510744636 746100845
43924060 249146844 214110043
26870401 617428186 503756570
78210415 117967084 459356744
796351847 845023297 438708449
581849695 641137414 63245435
149657918 574454901 50805115
95621110 882248529 326051016
204194433 531557506 72459120
479226780 739605048 484329341
223301634 393437159 331308122
60824557 686434663 415470648
348886178 407778444 234361342
558606246 789053191 106974914
30973117 375345706 446438418
28284531 892319241 531003066
130729599 433539339 529170935
394967018 804812564 254876192
252682267 780485590 276532405
454805851 640370966 675765271
436797855 884303272 468408149
96303403 716075774 144089022
556642353 801324982 62784912
283606463 638497336 236101373
424644384 524482798 794769396
384344144 620955966 844629909
193039618 865463741 157532906
64040105 315383533 90648700
596599803 743674767 858620485
227449751 301364636 868889168
302282856 389898305 375579522
